time,resultDescription
2025-07-02T13:51:43.9111871Z,"2025-07-02 13:51:43,904 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T14:05:29.8743292Z,"2025-07-02 14:05:29,863 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T14:23:21.0949685Z,"2025-07-02 14:23:21,075 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T14:24:17.5862523Z,"2025-07-02 14:24:17,583 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T14:28:23.0913899Z,"2025-07-02 14:28:23,091 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T14:37:32.1713603Z,"2025-07-02 14:37:32,161 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T14:38:50.6909121Z,"2025-07-02 14:38:50,690 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T14:41:48.200334Z,"2025-07-02 14:41:47,571 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T15:15:14.7537445Z,"2025-07-02 15:15:14,641 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T16:24:56.8509036Z,"2025-07-02 16:24:56,671 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
