time,resultDescription
2025-10-06T08:23:25.5246545Z,"2025-10-06 08:23:25,524 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:35:54.0629565Z,"2025-10-06 08:35:54,062 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T08:31:29.0600921Z,"2025-10-06 08:31:29,059 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:30:25.2141012Z,"2025-10-06 08:30:25,213 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:36:31.4242477Z,"2025-10-06 08:36:31,423 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:38:03.66828Z,"2025-10-06 08:38:03,667 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T08:40:22.2763524Z,"2025-10-06 08:40:22,276 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T08:43:18.9757157Z,"2025-10-06 08:43:18,975 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T08:58:33.4952017Z,"2025-10-06 08:58:33,494 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:57:16.3129282Z,"2025-10-06 08:57:16,312 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T08:57:37.1861628Z,"2025-10-06 08:57:37,185 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
