time,resultDescription
2025-05-07T09:05:07.4433791Z,"2025-05-07 09:05:07,440 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-07T09:24:53.0021927Z,"2025-05-07 09:24:52,990 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T09:50:12.151048Z,"2025-05-07 09:50:12,121 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T10:52:26.5069351Z,"2025-05-07 10:52:26,466 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T12:39:08.365559Z,"2025-05-07 12:39:08,323 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T12:43:11.2837824Z,"2025-05-07 12:43:11,283 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T12:47:05.365373Z,"2025-05-07 12:47:05,365 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T13:25:10.2506445Z,"2025-05-07 13:25:10,192 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T13:37:36.4442648Z,"2025-05-07 13:37:36,422 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-07T13:43:00.5474468Z,"2025-05-07 13:43:00,547 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T13:43:49.2337548Z,"2025-05-07 13:43:49,233 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T14:08:53.6603277Z,"2025-05-07 14:08:53,592 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-07T15:13:56.2331068Z,"2025-05-07 15:13:56,211 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T15:16:02.5004928Z,"2025-05-07 15:16:02,500 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
